set,path,file_kg,folder_kg,folder_id,folder
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_81.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_95.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_42.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_56.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_107.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_113.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_112.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_106.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_57.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_43.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_94.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_80.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_96.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_82.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_55.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_41.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_69.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_110.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_104.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_105.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_111.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_68.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_40.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_54.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_83.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_97.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_8.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_93.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_87.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_78.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_50.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_44.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_115.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_101.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_100.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_114.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_45.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_51.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_79.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_86.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_92.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_9.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_84.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_90.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_47.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_53.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_102.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_116.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_117.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_103.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_52.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_46.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_91.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_85.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_21.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_35.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_34.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_20.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_36.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_22.png,178.54,178.54,127,178.54_127
rgb9579,data/PigRGB-Weight/RGB_9579/fold1/178.54_127/178.54kg_23.png,178.54,178.54,127,178.54_127
